Timestamp,Job title,Company,Location,Lat,Lng
11/18/2015 17:32:00,Data visualization developer intern,The Atlanta Journal-Constitution,"Atlanta, GA",33.7489954,-84.3879824
12/2/2015 9:11:00,Front End Developer: Visualizations and data journalism,Aftonbladet,Stockholm,59.3293235,18.0685808
12/3/2015 18:20:00,Database Reporter,The Chronicle of Higher Education,"Washington, D.C.",38.9071923,-77.0368707
12/10/2015 12:21:00,Lead News Applications Developer,Minneapolis Star Tribune,"Minneapolis, MN",44.977753,-93.2650108
12/15/2015 12:18:00,Data Journalist/Creative Developer/Designer,SITU Research,"Brooklyn, NY",40.6781784,-73.9441579
1/6/2016 10:43:00,Data Journalist,Infogr8,London,51.5073509,-0.1277583
1/7/2016 15:41:00,Investigative Fellow,Investigative Reporting Program,"Berkeley, CA",37.8715926,-122.272747
1/7/2016 18:39:00,News applications developer,Chicago Tribune,"Chicago, Illinois USA",41.8781136,-87.6297982
1/9/2016 16:03:00,News applications developer,Milwaukee Journal Sentinel,"Milwaukee, WI",43.0389025,-87.9064736
1/13/2016 14:05:00,Data Visualization Developer,Thomson Reuters,New York City,40.7127837,-74.0059413
1/20/2016 21:22:00,Interactive Graphic Journalist,Bloomberg Graphics,Hong Kong,22.396428,114.109497
1/27/2016 15:39:00,News applications specialist,Austin American-Statesman,"Austin, TX",30.267153,-97.7430608
1/28/2016 10:16:00,Data Intern,The Palm Beach Post,"West Palm Beach, FL",26.7153424,-80.0533746
2/12/2016 11:00:00,Data Journalist Consultant,Dalberg Research,London,51.5073509,-0.1277583
2/22/2016 5:22:00,Data Journalism Intern,Dalia Research GmbH,Berlin,52.5200066,13.404954
2/22/2016 5:22:00,Data Journalism Intern,Dalia Research GmbH,Berlin,52.5200066,13.404954
3/4/2016 12:02:00,News application developer/data journalist,Center for Public Integrity,"Washington, DC",38.9071923,-77.0368707
3/4/2016 21:08:00,Data enterprise reporter,Tampa Bay Times,"St. Petersburg, FL",27.7518284,-82.6267345
3/4/2016 21:10:00,Digital designer / digital design editor,Tampa Bay Times,St. Petersburg,27.7518284,-82.6267345
3/7/2016 15:19:00,News application developer,The Atlanta Journal-Constitution,"Atlanta, GA",33.7489954,-84.3879824
