Date,Album,AlbumURL,AlbumImageURL,AlbumImageSource,Artist,ArtistURL
1960-07-18,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-07-25,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-08-01,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-08,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-15,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-22,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-29,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-09-05,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-09-12,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-09-19,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-09-26,String Along,https://en.wikipedia.org/wiki/String_Along,https://upload.wikimedia.org/wikipedia/en/8/87/Stringalong.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-10-03,String Along,https://en.wikipedia.org/wiki/String_Along,https://upload.wikimedia.org/wikipedia/en/8/87/Stringalong.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-10-10,String Along,https://en.wikipedia.org/wiki/String_Along,https://upload.wikimedia.org/wikipedia/en/8/87/Stringalong.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-10-17,String Along,https://en.wikipedia.org/wiki/String_Along,https://upload.wikimedia.org/wikipedia/en/8/87/Stringalong.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-10-24,String Along,https://en.wikipedia.org/wiki/String_Along,https://upload.wikimedia.org/wikipedia/en/8/87/Stringalong.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-10-31,Nice 'N' Easy,https://en.wikipedia.org/wiki/Nice_%27n%27_Easy,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Niceneasy.jpg/330px-Niceneasy.jpg,,Frank Sinatra,https://en.wikipedia.org/wiki/Frank_Sinatra
1960-11-07,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-11-14,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-11-21,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-11-28,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-12-05,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-12-12,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1960-12-19,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-12-26,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1960-12-31,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1961-01-02,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1961-01-09,Nice 'N' Easy,https://en.wikipedia.org/wiki/Nice_%27n%27_Easy,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Niceneasy.jpg/330px-Niceneasy.jpg,,Frank Sinatra,https://en.wikipedia.org/wiki/Frank_Sinatra
1961-01-16,The Button-Down Mind Strikes Back!,,http://ecx.images-amazon.com/images/I/41GEM1DYD6L.jpg,http://www.amazon.com/Button-Down-Mind-Strikes-Back/dp/B0000062TF,Frank Sinatra,https://en.wikipedia.org/wiki/Frank_Sinatra
1961-01-23,Wonderland by Night,,http://www.covershut.com/covers/Bert-Kaempfert-Wonderland-By-Night-1960-Front-Cover-32623.jpg,http://www.covershut.com/Music-Covers/32638-Bert-Kaempfert-Bert-Kaempferts-Greatest-Hits-1966-Back.html,Bert Kaempfert,https://en.wikipedia.org/wiki/Bert_Kaempfert
1961-01-30,Wonderland by Night,,http://www.covershut.com/covers/Bert-Kaempfert-Wonderland-By-Night-1960-Front-Cover-32623.jpg,http://www.covershut.com/Music-Covers/32638-Bert-Kaempfert-Bert-Kaempferts-Greatest-Hits-1966-Back.html,Bert Kaempfert,https://en.wikipedia.org/wiki/Bert_Kaempfert
1961-02-06,Wonderland by Night,,http://www.covershut.com/covers/Bert-Kaempfert-Wonderland-By-Night-1960-Front-Cover-32623.jpg,http://www.covershut.com/Music-Covers/32638-Bert-Kaempfert-Bert-Kaempferts-Greatest-Hits-1966-Back.html,Bert Kaempfert,https://en.wikipedia.org/wiki/Bert_Kaempfert
1961-02-13,Exodus,,http://images.45cat.com/ernest-gold-theme-of-exodus-rca-2.jpg,http://www.45cat.com/record/lpc3178,Ernest Gold,
1961-02-20,Wonderland by Night,,http://www.covershut.com/covers/Bert-Kaempfert-Wonderland-By-Night-1960-Front-Cover-32623.jpg,http://www.covershut.com/Music-Covers/32638-Bert-Kaempfert-Bert-Kaempferts-Greatest-Hits-1966-Back.html,Bert Kaempfert,https://en.wikipedia.org/wiki/Bert_Kaempfert
1961-02-27,Wonderland by Night,,http://www.covershut.com/covers/Bert-Kaempfert-Wonderland-By-Night-1960-Front-Cover-32623.jpg,http://www.covershut.com/Music-Covers/32638-Bert-Kaempfert-Bert-Kaempferts-Greatest-Hits-1966-Back.html,Bert Kaempfert,https://en.wikipedia.org/wiki/Bert_Kaempfert
1961-03-06,Exodus,,http://images.45cat.com/ernest-gold-theme-of-exodus-rca-2.jpg,http://www.45cat.com/record/lpc3178,Ernest Gold,
1961-03-13,Exodus,,http://images.45cat.com/ernest-gold-theme-of-exodus-rca-2.jpg,http://www.45cat.com/record/lpc3178,Ernest Gold,
1961-03-20,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,https://en.wikipedia.org/wiki/Lawrence_Welk
1961-03-27,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,https://en.wikipedia.org/wiki/Lawrence_Welk
1961-04-03,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,
