Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US21153,21153,"Magoffin County, Kentucky",12425,99.7,0.3
0500000US17059,17059,"Gallatin County, Illinois",5190,99.6,0.3
0500000US28159,28159,"Winston County, Mississippi",17750,99.5,0.3
0500000US31115,31115,"Loup County, Nebraska",559,99.5,0.6
0500000US21189,21189,"Owsley County, Kentucky",4508,99.4,0.5
0500000US54099,54099,"Wayne County, West Virginia",39786,99.4,0.2
0500000US32011,32011,"Eureka County, Nevada",1683,99.3,0.8
0500000US39105,39105,"Meigs County, Ohio",22356,99.3,0.3
0500000US54075,54075,"Pocahontas County, West Virginia",8329,99.3,0.7
0500000US29179,29179,"Reynolds County, Missouri",6285,99.2,0.3
0500000US47151,47151,"Scott County, Tennessee",20724,99.2,0.4
0500000US51021,51021,"Bland County, Virginia",6512,99.2,0.9
0500000US54105,54105,"Wirt County, West Virginia",5508,99.2,0.7
0500000US28043,28043,"Grenada County, Mississippi",20317,99.1,0.5
0500000US29173,29173,"Ralls County, Missouri",9642,99.1,0.5
0500000US54073,54073,"Pleasants County, West Virginia",7227,99.1,0.5
0500000US18025,18025,"Crawford County, Indiana",10036,99,0.5
0500000US22081,22081,"Red River Parish, Louisiana",8364,99,0.7
0500000US47083,47083,"Houston County, Tennessee",7916,99,0.7
0500000US01019,1019,"Cherokee County, Alabama",24652,98.9,0.3
0500000US19003,19003,"Adams County, Iowa",3747,98.8,0.7
0500000US39015,39015,"Brown County, Ohio",41737,98.8,0.3
0500000US39127,39127,"Perry County, Ohio",33692,98.8,0.5
0500000US54071,54071,"Pendleton County, West Virginia",7230,98.8,0.6
0500000US13125,13125,"Glascock County, Georgia",2927,98.7,0.9
0500000US21119,21119,"Knott County, Kentucky",15286,98.7,0.6
0500000US28005,28005,"Amite County, Mississippi",12204,98.7,1.1
0500000US39087,39087,"Lawrence County, Ohio",58611,98.7,0.3
0500000US17047,17047,"Edwards County, Illinois",6306,98.6,0.8
0500000US28091,28091,"Marion County, Mississippi",24751,98.6,0.5
0500000US31071,31071,"Garfield County, Nebraska",1875,98.6,1.1
0500000US54027,54027,"Hampshire County, West Virginia",22594,98.6,0.6
0500000US05095,5095,"Monroe County, Arkansas",7499,98.5,0.8
0500000US13099,13099,"Early County, Georgia",10062,98.5,0.8
0500000US17173,17173,"Shelby County, Illinois",21029,98.5,0.7
0500000US18021,18021,"Clay County, Indiana",25283,98.5,0.4
0500000US18115,18115,"Ohio County, Indiana",5800,98.5,1
0500000US20207,20207,"Woodson County, Kansas",3107,98.5,0.6
0500000US31063,31063,"Frontier County, Nebraska",2428,98.5,0.8
0500000US31147,31147,"Richardson County, Nebraska",7896,98.5,0.6
