Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US33005,33005,"Cheshire County, New Hampshire",73186,96.8,0.5
0500000US39111,39111,"Monroe County, Ohio",13829,96.8,2.4
0500000US42021,42021,"Cambria County, Pennsylvania",135331,96.8,0.3
0500000US55093,55093,"Pierce County, Wisconsin",38572,96.8,0.4
0500000US01037,1037,"Coosa County, Alabama",10665,96.7,1
0500000US16055,16055,"Kootenai County, Idaho",131961,96.7,0.5
0500000US20085,20085,"Jackson County, Kansas",12584,96.7,0.9
0500000US21161,21161,"Mason County, Kentucky",16289,96.7,1.3
0500000US26063,26063,"Huron County, Michigan",31234,96.7,0.5
0500000US47047,47047,"Fayette County, Tennessee",36109,96.7,0.5
0500000US26017,26017,"Bay County, Michigan",101287,96.6,0.5
0500000US31025,31025,"Cass County, Nebraska",23703,96.6,0.8
0500000US40127,40127,"Pushmataha County, Oklahoma",10728,96.6,0.8
0500000US23025,23025,"Somerset County, Maine",49376,96.5,0.4
0500000US42081,42081,"Lycoming County, Pennsylvania",110147,96.5,0.4
0500000US26103,26103,"Marquette County, Michigan",63948,96.4,0.4
0500000US36053,36053,"Madison County, New York",69206,96.3,0.5
0500000US30081,30081,"Ravalli County, Montana",38323,96.2,0.8
0500000US31167,31167,"Stanton County, Nebraska",5758,96.2,1.7
0500000US53003,53003,"Asotin County, Washington",20537,96.2,0.9
0500000US40135,40135,"Sequoyah County, Oklahoma",39286,95.9,0.7
0500000US51099,51099,"King George County, Virginia",22362,95.9,1.3
0500000US55007,55007,"Bayfield County, Wisconsin",14412,95.9,0.6
0500000US01087,1087,"Macon County, Alabama",19737,95.8,1
0500000US27017,27017,"Carlton County, Minnesota",33263,95.8,0.6
0500000US39051,39051,"Fulton County, Ohio",39919,95.8,0.8
0500000US08047,8047,"Gilpin County, Colorado",5263,95.7,2.4
0500000US29063,29063,"DeKalb County, Missouri",12303,95.7,1.1
0500000US16071,16071,"Oneida County, Idaho",3932,95.6,2.1
0500000US29079,29079,"Grundy County, Missouri",9608,95.6,1.6
0500000US51071,51071,"Giles County, Virginia",16163,95.3,3.2
0500000US48315,48315,"Marion County, Texas",9946,95.2,1.3
0500000US27007,27007,"Beltrami County, Minnesota",41635,94.4,1
0500000US42053,42053,"Forest County, Pennsylvania",7533,94.1,2.8
0500000US46023,46023,"Charles Mix County, South Dakota",8391,93.8,1.5
0500000US46041,46041,"Dewey County, South Dakota",4864,87,3.2
0500000US46113,46113,"Shannon County, South Dakota",12263,75.6,3.4
0500000US01075,1075,"Lamar County, Alabama",13596,99,0.5
0500000US21175,21175,"Morgan County, Kentucky",12956,98.3,0.4
0500000US29067,29067,"Douglas County, Missouri",12839,98.3,0.7
0500000US18153,18153,"Sullivan County, Indiana",20136,98.2,0.4
0500000US45009,45009,"Bamberg County, South Carolina",14932,98.2,0.9
0500000US01129,1129,"Washington County, Alabama",16416,98.1,0.9
0500000US51173,51173,"Smyth County, Virginia",30172,98.1,0.5
0500000US18051,18051,"Gibson County, Indiana",31328,98,0.6
0500000US18131,18131,"Pulaski County, Indiana",12533,98,0.9
0500000US18143,18143,"Scott County, Indiana",22613,98,0.7
0500000US19011,19011,"Benton County, Iowa",24374,98,0.5
0500000US31169,31169,"Thayer County, Nebraska",4911,98,0.8
0500000US41069,41069,"Wheeler County, Oregon",1246,98,1.1
0500000US19147,19147,"Palo Alto County, Iowa",8768,97.9,0.7
0500000US41023,41023,"Grant County, Oregon",7021,97.9,0.8
0500000US18031,18031,"Decatur County, Indiana",24321,97.8,0.7
0500000US20019,20019,"Chautauqua County, Kansas",3396,97.8,1
0500000US01029,1029,"Cleburne County, Alabama",14043,97.7,1.2
0500000US19045,19045,"Clinton County, Iowa",45836,97.7,0.4
0500000US45001,45001,"Abbeville County, South Carolina",23750,97.7,1
0500000US13141,13141,"Hancock County, Georgia",8736,97.6,1
0500000US38081,38081,"Sargent County, North Dakota",3665,97.6,0.7
0500000US51117,51117,"Mecklenburg County, Virginia",30735,97.6,0.6
0500000US05085,5085,"Lonoke County, Arkansas",64506,97.5,0.5
0500000US17087,17087,"Johnson County, Illinois",12073,97.5,0.6
0500000US20059,20059,"Franklin County, Kansas",24085,97.5,0.8
0500000US37043,37043,"Clay County, North Carolina",10039,97.5,0.9
0500000US39029,39029,"Columbiana County, Ohio",101242,97.5,0.3
0500000US55083,55083,"Oconto County, Wisconsin",35515,97.5,0.3
0500000US13311,13311,"White County, Georgia",25927,97.4,0.8
0500000US17157,17157,"Randolph County, Illinois",31495,97.4,0.6
0500000US19065,19065,"Fayette County, Iowa",19593,97.4,0.8
0500000US31145,31145,"Red Willow County, Nebraska",10338,97.4,1.4
0500000US39053,39053,"Gallia County, Ohio",29013,97.4,0.9
0500000US45031,45031,"Darlington County, South Carolina",64167,97.4,0.3
0500000US51195,51195,"Wise County, Virginia",38950,97.4,0.5
0500000US18093,18093,"Lawrence County, Indiana",43363,97.3,0.7
0500000US26109,26109,"Menominee County, Michigan",22812,97.3,0.5
0500000US28113,28113,"Pike County, Mississippi",37250,97.3,0.6
0500000US47021,47021,"Cheatham County, Tennessee",36853,97.3,0.5
0500000US05141,5141,"Van Buren County, Arkansas",16300,97.2,1.1
0500000US18129,18129,"Posey County, Indiana",24297,97.2,0.9
0500000US19105,19105,"Jones County, Iowa",19519,97.2,0.5
0500000US20041,20041,"Dickinson County, Kansas",18434,97.2,0.7
0500000US05035,5035,"Crittenden County, Arkansas",46498,97.1,0.6
0500000US21159,21159,"Martin County, Kentucky",12107,97.1,1.1
0500000US22085,22085,"Sabine Parish, Louisiana",22684,97.1,0.7
0500000US26009,26009,"Antrim County, Michigan",22378,97.1,0.6
0500000US17145,17145,"Perry County, Illinois",21079,97,0.7
0500000US30053,30053,"Lincoln County, Montana",18701,97,0.8
0500000US51025,51025,"Brunswick County, Virginia",16422,97,0.7
0500000US55095,55095,"Polk County, Wisconsin",41383,97,0.4
0500000US17189,17189,"Washington County, Illinois",13859,96.9,0.7
0500000US21147,21147,"McCreary County, Kentucky",17031,96.9,0.8
0500000US40037,40037,"Creek County, Oklahoma",65852,96.9,0.4
0500000US40111,40111,"Okmulgee County, Oklahoma",37210,96.9,0.6
0500000US46079,46079,"Lake County, South Dakota",10891,96.9,1.3
0500000US47143,47143,"Rhea County, Tennessee",30292,96.9,0.6
0500000US18159,18159,"Tipton County, Indiana",15060,96.8,0.9
0500000US21145,21145,"McCracken County, Kentucky",61752,96.8,0.5
0500000US22027,22027,"Claiborne Parish, Louisiana",16088,96.8,1.1
0500000US29099,29099,"Jefferson County, Missouri",205031,96.8,0.3
0500000US29217,29217,"Vernon County, Missouri",19620,96.8,0.9
0500000US42125,42125,"Washington County, Pennsylvania",197584,96.8,0.3
0500000US51019,51019,"Bedford County, Virginia",65827,96.8,0.6
0500000US55107,55107,"Rusk County, Wisconsin",13787,96.8,0.6
0500000US21103,21103,"Henry County, Kentucky",14500,96.7,0.5
0500000US26113,26113,"Missaukee County, Michigan",14042,96.7,0.6
0500000US27097,27097,"Morrison County, Minnesota",30941,96.7,0.5
0500000US39043,39043,"Erie County, Ohio",72546,96.7,0.5
0500000US49029,49029,"Morgan County, Utah",8777,96.7,1
0500000US51029,51029,"Buckingham County, Virginia",16203,96.7,0.9
0500000US01111,1111,"Randolph County, Alabama",21516,96.6,1
0500000US26055,26055,"Grand Traverse County, Michigan",83295,96.6,0.6
0500000US33019,33019,"Sullivan County, New Hampshire",41194,96.6,0.7
0500000US39139,39139,"Richland County, Ohio",116302,96.6,0.5
0500000US40113,40113,"Osage County, Oklahoma",45033,96.6,0.6
0500000US55049,55049,"Iowa County, Wisconsin",22156,96.6,0.8
0500000US01001,1001,"Autauga County, Alabama",51418,96.5,0.7
0500000US30027,30027,"Fergus County, Montana",10912,96.5,1.3
0500000US31107,31107,"Knox County, Nebraska",8111,96.5,0.8
0500000US39101,39101,"Marion County, Ohio",62499,96.5,0.5
0500000US42007,42007,"Beaver County, Pennsylvania",161471,96.5,0.3
0500000US55109,55109,"St. Croix County, Wisconsin",79001,96.5,0.5
0500000US17177,17177,"Stephenson County, Illinois",44597,96.4,0.6
0500000US18173,18173,"Warrick County, Indiana",56337,96.4,0.6
0500000US19191,19191,"Winneshiek County, Iowa",20059,96.4,0.7
0500000US39025,39025,"Clermont County, Ohio",185488,96.4,0.3
0500000US40043,40043,"Dewey County, Oklahoma",4532,96.4,1.3
0500000US50011,50011,"Franklin County, Vermont",45018,96.4,0.5
0500000US53051,53051,"Pend Oreille County, Washington",12343,96.3,1
0500000US08093,8093,"Park County, Colorado",15469,96.2,1.2
0500000US17105,17105,"Livingston County, Illinois",36602,96.2,0.4
0500000US20099,20099,"Labette County, Kansas",20039,96.2,1
0500000US26093,26093,"Livingston County, Michigan",172724,96.2,0.4
0500000US27005,27005,"Becker County, Minnesota",30642,96.2,0.7
0500000US39123,39123,"Ottawa County, Ohio",39495,96.2,0.7
0500000US30099,30099,"Teton County, Montana",5721,96.1,1.2
0500000US33001,33001,"Belknap County, New Hampshire",57215,96.1,0.6
0500000US53065,53065,"Stevens County, Washington",41318,96.1,1
0500000US40023,40023,"Choctaw County, Oklahoma",14135,96,0.9
0500000US40097,40097,"Mayes County, Oklahoma",38331,96,0.7
0500000US50027,50027,"Windsor County, Vermont",53748,96,0.5
0500000US27137,27137,"St. Louis County, Minnesota",189646,95.9,0.3
0500000US30093,30093,"Silver Bow County, Montana",32460,95.9,1.1
0500000US50015,50015,"Lamoille County, Vermont",23183,95.9,0.9
0500000US39159,39159,"Union County, Ohio",49346,95.8,0.6
0500000US16021,16021,"Boundary County, Idaho",10233,95.7,1.4
0500000US50025,50025,"Windham County, Vermont",42152,95.7,0.5
0500000US26019,26019,"Benzie County, Michigan",16630,95.6,1.1
0500000US26105,26105,"Mason County, Michigan",27099,95.6,0.6
0500000US27011,27011,"Big Stone County, Minnesota",4920,95.6,1.3
0500000US40045,40045,"Ellis County, Oklahoma",3861,95.6,1
0500000US13103,13103,"Effingham County, Georgia",49457,95.5,0.8
0500000US26027,26027,"Cass County, Michigan",49413,95.5,0.6
0500000US38031,38031,"Foster County, North Dakota",3177,95.5,1.8
0500000US20115,20115,"Marion County, Kansas",11832,95.4,1.1
0500000US28071,28071,"Lafayette County, Mississippi",46396,95.4,0.8
0500000US30079,30079,"Prairie County, Montana",1139,95.4,2.6
0500000US41015,41015,"Curry County, Oregon",21492,95.4,1.4
0500000US23019,23019,"Penobscot County, Maine",146055,95.3,0.4
0500000US27107,27107,"Norman County, Minnesota",6366,95,0.9
0500000US27173,27173,"Yellow Medicine County, Minnesota",9672,94.9,0.6
0500000US18073,18073,"Jasper County, Indiana",31270,94.7,1
0500000US51043,51043,"Clarke County, Virginia",13478,94.3,1.5
0500000US08091,8091,"Ouray County, Colorado",4339,93.6,1.9
0500000US29197,29197,"Schuyler County, Missouri",4120,93.6,4.9
0500000US32021,32021,"Mineral County, Nevada",4527,92,2.8
0500000US30003,30003,"Big Horn County, Montana",11549,70.1,3.1
0500000US21023,21023,"Bracken County, Kentucky",7914,98.6,0.5
0500000US17079,17079,"Jasper County, Illinois",9117,98.5,0.3
0500000US17035,17035,"Cumberland County, Illinois",10309,98.4,0.9
0500000US01133,1133,"Winston County, Alabama",23052,98.2,0.5
0500000US20117,20117,"Marshall County, Kansas",9453,98.1,0.7
0500000US21001,21001,"Adair County, Kentucky",17671,98,0.8
0500000US47027,47027,"Clay County, Tennessee",7339,98,0.6
0500000US20205,20205,"Wilson County, Kansas",8662,97.9,0.6
0500000US28147,28147,"Walthall County, Mississippi",14258,97.9,0.7
0500000US47159,47159,"Smith County, Tennessee",18035,97.9,0.8
0500000US47181,47181,"Wayne County, Tennessee",16218,97.9,0.4
0500000US13163,13163,"Jefferson County, Georgia",15439,97.8,1
0500000US28057,28057,"Itawamba County, Mississippi",21978,97.8,0.8
0500000US46107,46107,"Potter County, South Dakota",2218,97.8,1.1
0500000US19097,19097,"Jackson County, Iowa",18680,97.7,0.8
0500000US47103,47103,"Lincoln County, Tennessee",31393,97.7,0.5
0500000US51005,51005,"Alleghany County, Virginia",15525,97.7,0.7
0500000US19185,19185,"Wayne County, Iowa",5969,97.6,1.1
0500000US51155,51155,"Pulaski County, Virginia",33005,97.6,0.7
0500000US17185,17185,"Wabash County, Illinois",11165,97.5,1
0500000US18137,18137,"Ripley County, Indiana",26804,97.5,0.7
0500000US19151,19151,"Pocahontas County, Iowa",6866,97.5,0.8
0500000US29027,29027,"Callaway County, Missouri",41699,97.5,0.6
0500000US29081,29081,"Harrison County, Missouri",8225,97.5,1.1
0500000US31011,31011,"Boone County, Nebraska",5121,97.5,0.7
0500000US39149,39149,"Shelby County, Ohio",45948,97.5,0.5
0500000US39121,39121,"Noble County, Ohio",13883,97.4,0.8
0500000US45005,45005,"Allendale County, South Carolina",9615,97.4,0.6
0500000US47005,47005,"Benton County, Tennessee",15553,97.4,0.8
0500000US13189,13189,"McDuffie County, Georgia",20135,97.3,0.6
0500000US13207,13207,"Monroe County, Georgia",25145,97.3,0.6
0500000US21061,21061,"Edmonson County, Kentucky",11498,97.3,1.1
0500000US22031,22031,"De Soto Parish, Louisiana",25014,97.3,0.8
0500000US26153,26153,"Schoolcraft County, Michigan",8030,97.3,1.2
0500000US29121,29121,"Macon County, Missouri",14558,97.3,0.9
0500000US39109,39109,"Miami County, Ohio",96697,97.3,0.3
0500000US40117,40117,"Pawnee County, Oklahoma",15534,97.3,0.9
0500000US21027,21027,"Breckinridge County, Kentucky",18909,97.2,1
0500000US12007,12007,"Bradford County, Florida",26312,97.1,0.7
0500000US19031,19031,"Cedar County, Iowa",17347,97.1,0.8
0500000US47045,47045,"Dyer County, Tennessee",35779,97.1,0.5
0500000US13035,13035,"Butts County, Georgia",22170,97,0.6
0500000US17033,17033,"Crawford County, Illinois",18671,97,0.6
0500000US18111,18111,"Newton County, Indiana",13373,97,1.1
0500000US21123,21123,"Larue County, Kentucky",13414,97,1.1
0500000US23007,23007,"Franklin County, Maine",29250,97,0.6
0500000US23027,23027,"Waldo County, Maine",36734,97,0.8
0500000US29091,29091,"Howell County, Missouri",37739,97,1.1
0500000US31161,31161,"Sheridan County, Nebraska",5100,97,1.1
0500000US05069,5069,"Jefferson County, Arkansas",71019,96.9,0.5
0500000US21101,21101,"Henderson County, Kentucky",43266,96.9,0.6
0500000US37115,37115,"Madison County, North Carolina",19955,96.9,0.8
0500000US39089,39089,"Licking County, Ohio",156684,96.9,0.4
0500000US17081,17081,"Jefferson County, Illinois",36353,96.8,0.5
0500000US29043,29043,"Christian County, Missouri",73064,96.8,0.7
0500000US29053,29053,"Cooper County, Missouri",16543,96.8,0.8
0500000US42061,42061,"Huntingdon County, Pennsylvania",43538,96.8,0.4
0500000US42123,42123,"Warren County, Pennsylvania",39397,96.8,0.7
0500000US47101,47101,"Lewis County, Tennessee",11314,96.8,1.4
0500000US16007,16007,"Bear Lake County, Idaho",5558,96.7,1.6
0500000US17119,17119,"Madison County, Illinois",252221,96.7,0.3
0500000US21009,21009,"Barren County, Kentucky",39819,96.7,0.6
0500000US42031,42031,"Clarion County, Pennsylvania",37680,96.7,0.6
0500000US01071,1071,"Jackson County, Alabama",50208,96.6,0.6
0500000US17115,17115,"Macon County, Illinois",103460,96.6,0.4
0500000US26049,26049,"Genesee County, Michigan",395118,96.6,0.2
0500000US28083,28083,"Leflore County, Mississippi",29418,96.6,1.2
0500000US39137,39137,"Putnam County, Ohio",31909,96.6,0.5
0500000US45039,45039,"Fairfield County, South Carolina",22254,96.6,0.9
0500000US26029,26029,"Charlevoix County, Michigan",24722,96.5,0.7
0500000US27009,27009,"Benton County, Minnesota",35949,96.5,0.6
0500000US36115,36115,"Washington County, New York",59981,96.5,0.4
0500000US55067,55067,"Langlade County, Wisconsin",18808,96.5,0.9
0500000US17027,17027,"Clinton County, Illinois",35741,96.4,0.7
0500000US26095,26095,"Luce County, Michigan",6247,96.3,1.4
0500000US26115,26115,"Monroe County, Michigan",142962,96.3,0.4
0500000US36107,36107,"Tioga County, New York",48073,96.3,0.5
0500000US21037,21037,"Campbell County, Kentucky",84855,96.1,0.6
0500000US26147,26147,"St. Clair County, Michigan",152930,96.1,0.3
0500000US38065,38065,"Oliver County, North Dakota",1720,96.1,1.5
0500000US41001,41001,"Baker County, Oregon",15241,96.1,1.1
0500000US38049,38049,"McHenry County, North Dakota",5262,96,1
0500000US46017,46017,"Buffalo County, South Dakota",1735,96,2
0500000US22121,22121,"West Baton Rouge Parish, Louisiana",22348,95.9,0.9
0500000US50021,50021,"Rutland County, Vermont",58550,95.9,0.5
0500000US13081,13081,"Crisp County, Georgia",21845,95.8,0.9
0500000US20003,20003,"Anderson County, Kansas",7368,95.8,2.6
0500000US29101,29101,"Johnson County, Missouri",49943,95.8,0.8
0500000US36075,36075,"Oswego County, New York",114898,95.8,0.5
0500000US38055,38055,"McLean County, North Dakota",8701,95.8,1.2
0500000US50003,50003,"Bennington County, Vermont",35010,95.8,0.8
0500000US16069,16069,"Nez Perce County, Idaho",37179,95.7,0.8
0500000US22011,22011,"Beauregard Parish, Louisiana",33429,95.7,0.7
0500000US56023,56023,"Lincoln County, Wyoming",16780,95.7,1.3
0500000US13133,13133,"Greene County, Georgia",15258,95.6,1.2
0500000US27039,27039,"Dodge County, Minnesota",18731,95.6,0.7
0500000US31155,31155,"Saunders County, Nebraska",19453,95.6,0.9
0500000US41033,41033,"Josephine County, Oregon",78629,95.6,0.6
0500000US46077,46077,"Kingsbury County, South Dakota",4813,95.6,1.3
0500000US53031,53031,"Jefferson County, Washington",28904,95.6,1
0500000US22063,22063,"Livingston Parish, Louisiana",120652,95.5,0.6
0500000US46037,46037,"Day County, South Dakota",5342,95.4,1.5
0500000US51740,51740,"Portsmouth city, Virginia",88746,95.4,0.5
0500000US17107,17107,"Logan County, Illinois",28672,95.3,0.8
0500000US24001,24001,"Allegany County, Maryland",70972,95.3,0.5
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",5262,95.2,1.3
0500000US27029,27029,"Clearwater County, Minnesota",8132,95.1,0.9
0500000US55103,55103,"Richland County, Wisconsin",16866,95,1
0500000US08119,8119,"Teller County, Colorado",22282,94.9,1.1
0500000US46109,46109,"Roberts County, South Dakota",9383,94.9,1.8
0500000US23029,23029,"Washington County, Maine",31010,94.7,0.7
0500000US55119,55119,"Taylor County, Wisconsin",19340,94.7,1
0500000US17109,17109,"McDonough County, Illinois",31118,94.1,1.1
0500000US38061,38061,"Mountrail County, North Dakota",7683,94.1,1.5
0500000US02275,2275,"Wrangell City and Borough, Alaska",2324,94,3.1
0500000US30041,30041,"Hill County, Montana",15026,93.8,1.4
0500000US40055,40055,"Greer County, Oklahoma",5849,92.6,1.5
0500000US13249,13249,"Schley County, Georgia",4800,92.3,4.3
0500000US46095,46095,"Mellette County, South Dakota",1869,86.8,3.8
0500000US22021,22021,"Caldwell Parish, Louisiana",9523,98.4,0.6
0500000US21025,21025,"Breathitt County, Kentucky",13001,98.3,0.7
0500000US21207,21207,"Russell County, Kentucky",16622,98.3,0.8
0500000US29073,29073,"Gasconade County, Missouri",14303,98.2,0.5
0500000US01119,1119,"Sumter County, Alabama",12834,98.1,1
0500000US05021,5021,"Clay County, Arkansas",14936,98.1,0.7
0500000US29033,29033,"Carroll County, Missouri",8716,98.1,0.9
0500000US29125,29125,"Maries County, Missouri",8552,98,1.2
0500000US01039,1039,"Covington County, Alabama",35592,97.9,0.4
0500000US28039,28039,"George County, Mississippi",21055,97.9,0.8
0500000US56019,56019,"Johnson County, Wyoming",8032,97.8,1.2
0500000US19007,19007,"Appanoose County, Iowa",11986,97.7,0.9
0500000US22123,22123,"West Carroll Parish, Louisiana",10822,97.7,0.6
0500000US51197,51197,"Wythe County, Virginia",27782,97.7,0.6
0500000US18119,18119,"Owen County, Indiana",20296,97.5,0.9
0500000US05083,5083,"Logan County, Arkansas",20826,97.4,0.7
0500000US13171,13171,"Lamar County, Georgia",17158,97.4,0.9
0500000US51053,51053,"Dinwiddie County, Virginia",26492,97.3,0.8
0500000US01121,1121,"Talladega County, Alabama",77089,97.2,0.4
0500000US21179,21179,"Nelson County, Kentucky",40814,97.2,0.6
0500000US36049,36049,"Lewis County, New York",25372,97.2,0.5
0500000US47167,47167,"Tipton County, Tennessee",57347,97.2,0.5
0500000US05023,5023,"Cleburne County, Arkansas",24530,97.1,1
0500000US13257,13257,"Stephens County, Georgia",24350,97.1,1.2
0500000US17001,17001,"Adams County, Illinois",62983,97.1,0.6
0500000US17199,17199,"Williamson County, Illinois",62551,97.1,0.3
0500000US18035,18035,"Delaware County, Indiana",111366,97.1,0.3
0500000US19125,19125,"Marion County, Iowa",31189,97.1,0.5
0500000US45017,45017,"Calhoun County, South Carolina",14237,97.1,1
0500000US47051,47051,"Franklin County, Tennessee",38873,97.1,0.5
0500000US17137,17137,"Morgan County, Illinois",33528,97,0.6
0500000US21151,21151,"Madison County, Kentucky",79060,97,0.5
0500000US28011,28011,"Bolivar County, Mississippi",31606,97,0.6
0500000US31171,31171,"Thomas County, Nebraska",698,97,1.7
0500000US19061,19061,"Dubuque County, Iowa",88535,96.9,0.4
0500000US28049,28049,"Hinds County, Mississippi",228681,96.9,0.3
0500000US28075,28075,"Lauderdale County, Mississippi",74849,96.9,0.5
0500000US31101,31101,"Keith County, Nebraska",7873,96.9,1
0500000US39019,39019,"Carroll County, Ohio",27197,96.9,1.1
0500000US39171,39171,"Williams County, Ohio",35425,96.9,0.5
0500000US51015,51015,"Augusta County, Virginia",70149,96.9,0.5
0500000US13017,13017,"Ben Hill County, Georgia",16173,96.8,1.7
0500000US19035,19035,"Cherokee County, Iowa",11390,96.8,0.9
0500000US19137,19137,"Montgomery County, Iowa",10044,96.8,0.9
0500000US31095,31095,"Jefferson County, Nebraska",7162,96.7,1.2
0500000US55017,55017,"Chippewa County, Wisconsin",58794,96.7,0.5
0500000US17123,17123,"Marshall County, Illinois",11807,96.6,0.7
0500000US26007,26007,"Alpena County, Michigan",27973,96.6,0.7
0500000US31137,31137,"Phelps County, Nebraska",8615,96.6,1.3
0500000US45027,45027,"Clarendon County, South Carolina",32744,96.6,0.5
0500000US48067,48067,"Cass County, Texas",28610,96.6,0.7
0500000US29037,29037,"Cass County, Missouri",93447,96.5,0.5
0500000US29157,29157,"Perry County, Missouri",17795,96.5,0.8
0500000US37087,37087,"Haywood County, North Carolina",56146,96.5,0.5
0500000US42037,42037,"Columbia County, Pennsylvania",63871,96.5,0.5
0500000US26141,26141,"Presque Isle County, Michigan",12751,96.4,0.6
0500000US27101,27101,"Murray County, Minnesota",8146,96.4,0.6
0500000US27155,27155,"Traverse County, Minnesota",3338,96.4,1.3
0500000US30083,30083,"Richland County, Montana",9624,96.4,1
0500000US39151,39151,"Stark County, Ohio",354106,96.4,0.2
0500000US40051,40051,"Grady County, Oklahoma",49431,96.4,0.7
0500000US13009,13009,"Baldwin County, Georgia",43374,96.3,0.5
0500000US18151,18151,"Steuben County, Indiana",32351,96.3,0.7
0500000US20149,20149,"Pottawatomie County, Kansas",20092,96.3,1
0500000US26067,26067,"Ionia County, Michigan",59934,96.3,0.4
0500000US26151,26151,"Sanilac County, Michigan",40264,96.3,0.4
0500000US31067,31067,"Gage County, Nebraska",20696,96.3,0.7
0500000US22047,22047,"Iberville Parish, Louisiana",31341,96.2,0.8
0500000US23015,23015,"Lincoln County, Maine",32789,96.2,0.6
0500000US28069,28069,"Kemper County, Mississippi",9727,96.2,1.9
0500000US39091,39091,"Logan County, Ohio",42718,96.2,1
0500000US20053,20053,"Ellsworth County, Kansas",6139,96.1,1.1
0500000US36097,36097,"Schuyler County, New York",17575,96.1,1.1
0500000US27049,27049,"Goodhue County, Minnesota",43412,96,0.4
0500000US30111,30111,"Yellowstone County, Montana",140178,96,0.4
0500000US37053,37053,"Currituck County, North Carolina",22547,96,0.9
0500000US41019,41019,"Douglas County, Oregon",101752,96,0.5
0500000US48083,48083,"Coleman County, Texas",8114,96,1.5
0500000US51790,51790,"Staunton city, Virginia",22639,96,0.9
0500000US55077,55077,"Marquette County, Wisconsin",14548,96,0.6
0500000US21113,21113,"Jessamine County, Kentucky",45771,95.9,0.9
0500000US26057,26057,"Gratiot County, Michigan",39876,95.9,0.6
0500000US05125,5125,"Saline County, Arkansas",102936,95.7,0.7
0500000US23023,23023,"Sagadahoc County, Maine",33374,95.7,0.7
0500000US24009,24009,"Calvert County, Maryland",84461,95.6,0.5
0500000US28101,28101,"Newton County, Mississippi",20175,95.6,0.8
0500000US27063,27063,"Jackson County, Minnesota",9655,95.5,0.8
0500000US30017,30017,"Custer County, Montana",11054,95.5,1.5
0500000US51145,51145,"Powhatan County, Virginia",26918,95.5,0.8
0500000US51800,51800,"Suffolk city, Virginia",79066,95.5,0.7
0500000US17183,17183,"Vermilion County, Illinois",75782,95.3,0.4
0500000US46103,46103,"Pennington County, South Dakota",95397,95.3,0.4
0500000US38015,38015,"Burleigh County, North Dakota",78413,95.2,0.6
0500000US38101,38101,"Ward County, North Dakota",59149,95.2,0.6
0500000US42025,42025,"Carbon County, Pennsylvania",61832,95.2,0.9
0500000US40133,40133,"Seminole County, Oklahoma",23752,95.1,0.7
0500000US26131,26131,"Ontonagon County, Michigan",6380,95,1
0500000US12129,12129,"Wakulla County, Florida",29046,94.9,1.1
0500000US26033,26033,"Chippewa County, Michigan",36822,94.9,0.6
0500000US46081,46081,"Lawrence County, South Dakota",23077,94.8,1.2
0500000US51690,51690,"Martinsville city, Virginia",12899,94.8,1.5
0500000US19019,19019,"Buchanan County, Iowa",19420,94,2
0500000US27089,27089,"Marshall County, Minnesota",8912,93.8,0.8
0500000US40063,40063,"Hughes County, Oklahoma",13078,93.8,1
0500000US30047,30047,"Lake County, Montana",26882,93.7,1.2
0500000US46043,46043,"Douglas County, South Dakota",2824,93.7,2.9
0500000US30087,30087,"Rosebud County, Montana",8516,91.6,1.8
0500000US47039,47039,"Decatur County, Tennessee",11059,98.1,0.7
0500000US51083,51083,"Halifax County, Virginia",33996,97.8,0.4
0500000US37173,37173,"Swain County, North Carolina",13125,97.7,1
0500000US21225,21225,"Union County, Kentucky",14270,97.6,0.8
0500000US28133,28133,"Sunflower County, Mississippi",26720,97.6,0.6
0500000US37187,37187,"Washington County, North Carolina",12164,97.6,0.9
0500000US01115,1115,"St. Clair County, Alabama",79038,97.5,0.4
0500000US45011,45011,"Barnwell County, South Carolina",20907,97.5,0.8
0500000US16037,16037,"Custer County, Idaho",4114,97.4,1.7
0500000US28041,28041,"Greene County, Mississippi",13550,97.4,1
0500000US37083,37083,"Halifax County, North Carolina",51141,97.4,0.3
0500000US41055,41055,"Sherman County, Oregon",1753,97.4,1.5
0500000US45089,45089,"Williamsburg County, South Carolina",31985,97.4,0.7
0500000US17051,17051,"Fayette County, Illinois",20826,97.3,1.1
0500000US21005,21005,"Anderson County, Kentucky",20161,97.3,1.1
0500000US21107,21107,"Hopkins County, Kentucky",43824,97.3,0.5
0500000US40035,40035,"Craig County, Oklahoma",14027,97.3,0.6
0500000US18045,18045,"Fountain County, Indiana",16065,97.2,0.8
0500000US36041,36041,"Hamilton County, New York",4654,97.2,0.9
0500000US42015,42015,"Bradford County, Pennsylvania",58910,96.9,0.4
0500000US47107,47107,"McMinn County, Tennessee",49317,96.9,0.5
0500000US18095,18095,"Madison County, Indiana",123032,96.8,0.4
0500000US39097,39097,"Madison County, Ohio",40848,96.8,0.6
0500000US41025,41025,"Harney County, Oregon",6928,96.8,1.2
0500000US17151,17151,"Pope County, Illinois",4229,96.6,1.3
0500000US19043,19043,"Clayton County, Iowa",16925,96.6,0.8
0500000US28017,28017,"Chickasaw County, Mississippi",16211,96.6,1
