Year,Democrat,Republican,Other
1972,82,18,0
1976,83,16,1
1980,85,11,4
1984,90,9,1
1988,86,12,2
1992,83,10,7
1996,84,12,4
2000,90,9,1
2004,88,11,1
2008,95,4,1
2012,93,6,1
2016,88,8,4
