Year,Democrat,Republican,Other
1980,31,55,14
1984,37,62,1
1988,39,60,1
1992,40,41,19
1996,43,47,10
2000,44,52,4
2004,44,55,1
2008,47,51,2
2012,42,56,2
2016,45,49,6
