Year,Democrat,Republican,Other
1972,64,34,2
1976,76,24,0
1980,55,37,8
1984,62,37,1
1988,66,30,4
1992,61,25,14
1996,71,21,8
2000,62,36,2
2004,53,44,3
2008,67,31,2
2012,71,27,2
2016,65,29,6
