Timestamp,Job title,Company,Location,Lat,Lng,CityFormatted
8/28/2015 15:29:00,Data Editor,The Chicago Reporter,"Chicago, IL",41.8781136,-87.6297982,"Chicago, IL, USA"
9/3/2015 16:22:00,Graphics content editor,The Globe and Mail,Toronto,43.653226,-79.3831843,"Toronto, ON, Canada"
9/3/2015 18:00:00,Data Reporter,Reuters,"New York, NY",40.7127837,-74.0059413,"New York, NY, USA"
9/16/2015 11:15:00,Professor of Political Communications,University of Iowa,"Iowa City, IA",41.6611277,-91.5301683,"Iowa City, IA, USA"
9/16/2015 11:19:00,Visiting Assistant Professor of Journalism,University of Iowa,"Iowa City, IA",41.6611277,-91.5301683,"Iowa City, IA, USA"
9/16/2015 14:46:00,California Health Data Fellowship,USC Annenberg,,,,
9/21/2015 13:44:00,News Developer,St. Louis Post-Dispatch,"St. Louis, MO",38.6270025,-90.1994042,"St. Louis, MO, USA"
9/24/2015 17:56:00,Digital Editor,The Seattle Times,"Seattle, WA",47.6062095,-122.3320708,"Seattle, WA, USA"
9/30/2015 13:10:00,C.A.R Producer,E.W. Scripps,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
10/6/2015 19:30:00,Investigative Data Reporter,Wall Street Journal,New York City,40.7127837,-74.0059413,"New York, NY, USA"
10/6/2015 19:33:00,Full-stack Javascript engineer,Vox Media,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
10/6/2015 19:35:00,Web Developer,Pew Research Center,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
10/6/2015 19:38:00,Web Developer,Religion News Service,,,,
10/6/2015 19:40:00,Data-Driven Journalist,Inter-American Development Bank,,,,
10/6/2015 19:42:00,Data Intern,ProPublica,"New York City, New York, United States",40.7127837,-74.0059413,"New York, NY, USA"
10/6/2015 19:43:00,Data Journalist,Bloomberg,"New York City, New York, United States",40.7127837,-74.0059413,"New York, NY, USA"
10/12/2015 18:57:00,Interactive News Intern,New York Times,New York City,40.7127837,-74.0059413,"New York, NY, USA"
10/12/2015 19:01:00,Summer 2016 visualization internship,Los Angeles Times,Los Angeles,34.0522342,-118.2436849,"Los Angeles, CA, USA"
10/12/2015 19:04:00,Summer 2016 Data Desk internship,Los Angeles Times,Los Angeles,34.0522342,-118.2436849,"Los Angeles, CA, USA"
10/12/2015 19:19:00,Summer 2016 news apps fellowship,Texas Tribune,"Austin, Texas",30.267153,-97.7430608,"Austin, TX, USA"
10/14/2015 11:39:00,Survey Research Analyst,The Washington Post,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
10/16/2015 6:18:00,"Data Visualisation Journalist, New York",Financial Times,"New York, NY",40.7127837,-74.0059413,"New York, NY, USA"
